bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34
pg29083-3,0.0094,0.1801,0.0910,0.0908,0.0180,0.0248,0.0355,0.0516,0.0420,0.0011,0.0028,0.0115,0.0066,0.1025,-0.0322,0.0162,0.4000,0.3600,0.2400,0.7653,0.1232,0.1011,-0.0072,0.0121,-0.0010,0.0029,-0.0069,-0.0115,0.0003,-0.0044,0.0148,0.0009,0.0549,0.1316,0.0000
pg29083-8,0.0067,0.1308,0.0797,0.0699,0.0142,0.0274,0.0399,0.0551,0.0308,0.0014,0.0071,0.0098,0.0080,0.1133,0.0715,0.0130,0.0800,0.4000,0.5200,0.6645,0.1232,0.1011,-0.0072,0.0121,-0.0010,0.0029,-0.0069,-0.0115,0.0003,-0.0044,0.0148,0.0009,0.0078,0.0000,0.0000
pg29083-9,0.0088,0.2043,0.0579,0.0835,0.0149,0.0264,0.0371,0.0588,0.0369,0.0011,0.0037,0.0112,0.0072,0.1119,0.0150,0.0125,0.2400,0.1600,0.6000,0.7306,0.1232,0.1011,-0.0072,0.0121,-0.0010,0.0029,-0.0069,-0.0115,0.0003,-0.0044,0.0148,0.0009,0.0247,0.1316,0.0000
pg14605-2,0.0170,0.4556,0.0238,0.0688,0.0236,0.0226,0.0372,0.0548,0.0435,0.0006,0.0085,0.0168,0.0045,0.1179,-0.0127,0.0285,0.3600,0.1200,0.5200,0.6809,-0.0591,0.8353,-0.0031,-0.0090,0.0134,-0.0044,0.0025,0.0066,-0.0025,0.0108,-0.0103,-0.0040,0.2365,0.1842,0.0000
pg14605-3,0.0210,0.3102,0.1681,0.0815,0.0268,0.0238,0.0374,0.0567,0.0486,0.0005,0.0072,0.0163,0.0095,0.1181,-0.0692,0.0383,0.2917,0.3750,0.3333,0.7628,-0.0591,0.8353,-0.0031,-0.0090,0.0134,-0.0044,0.0025,0.0066,-0.0025,0.0108,-0.0103,-0.0040,0.3021,0.2632,0.0000
pg14605-1,0.0191,0.3480,0.1338,0.0716,0.0241,0.0245,0.0360,0.0543,0.0439,0.0003,0.0087,0.0143,0.0072,0.1136,-0.0290,0.0363,0.4800,0.1600,0.3600,0.7033,-0.0591,0.8353,-0.0031,-0.0090,0.0134,-0.0044,0.0025,0.0066,-0.0025,0.0108,-0.0103,-0.0040,0.2925,0.3158,0.0000
pg15179-1,0.0055,0.1268,0.1286,0.0916,0.0196,0.0196,0.0396,0.0647,0.0296,0.0011,0.0108,0.0228,0.0203,0.1390,-0.0163,0.0066,0.2586,0.2759,0.4655,0.7451,-0.1417,-0.0703,0.0001,0.0145,-0.0051,-0.0031,-0.0076,-0.0026,0.0143,-0.0032,-0.0017,-0.0056,0.0021,0.0000,0.0000
pg15179-2,0.0061,0.2033,0.1250,0.0838,0.0278,0.0174,0.0408,0.0561,0.0512,0.0008,0.0085,0.0198,0.0051,0.1260,-0.0639,0.0071,0.3158,0.3333,0.3509,0.6681,-0.1417,-0.0703,0.0001,0.0145,-0.0051,-0.0031,-0.0076,-0.0026,0.0143,-0.0032,-0.0017,-0.0056,0.0015,0.0263,0.0000
pg14605-8,0.0179,0.3356,0.1264,0.0693,0.0201,0.0255,0.0360,0.0588,0.0414,0.0005,0.0080,0.0106,0.0041,0.1139,0.0192,0.0266,0.4800,0.0400,0.4800,0.6960,-0.0591,0.8353,-0.0031,-0.0090,0.0134,-0.0044,0.0025,0.0066,-0.0025,0.0108,-0.0103,-0.0040,0.2682,0.3684,0.0000
pg14605-9,0.0174,0.2567,0.2060,0.0734,0.0193,0.0218,0.0415,0.0600,0.0442,0.0008,0.0102,0.0106,0.0044,0.1231,-0.0084,0.0274,0.5600,0.1200,0.3200,0.7185,-0.0591,0.8353,-0.0031,-0.0090,0.0134,-0.0044,0.0025,0.0066,-0.0025,0.0108,-0.0103,-0.0040,0.2526,0.3421,0.0000
pg14605-6,0.0170,0.2304,0.2068,0.0814,0.0245,0.0234,0.0354,0.0554,0.0416,0.0002,0.0074,0.0107,0.0040,0.1091,0.0117,0.0301,0.4400,0.1600,0.4000,0.7242,-0.0591,0.8353,-0.0031,-0.0090,0.0134,-0.0044,0.0025,0.0066,-0.0025,0.0108,-0.0103,-0.0040,0.2940,0.2895,0.0000
